Title,Year,Work,Format,Band
No Policy,1981,Music,Album,State of Alert
Flex Your Head,1982,Music,Album,State of Alert
Damaged,1981,Music,Album,Black Flag
My War,1984,Music,Album,Black Flag
Family Man,1984,Music,Album,Black Flag
Slip It In,1984,Music,Album,Black Flag
Live '84,1984,Music,Album,Black Flag
Loose Nut,1985,Music,Album,Black Flag
In My Head,1985,Music,Album,Black Flag
Who's Got the 10½?,1986,Music,Album,Black Flag
Annihilate This Week,1986,Music,Album,Black Flag
Hot Animal Machine,1987,Music,Album,Henry Rollins
Drive by Shooting,1987,Music,Album,Henry Rollins
Live '84,1987,Music,Album,Henry Rollins
Life Time,1987,Music,Album,Rollins Band
Hard Volume,1989,Music,Album,Rollins Band
Turned On,1990,Music,Album,Rollins Band
The End of Silence,1992,Music,Album,Rollins Band
Weight,1994,Music,Album,Rollins Band
Come in and Burn,1997,Music,Album,Rollins Band
Insert Band Here,1999,Music,Album,Rollins Band
A Clockwork Orange Stage,2000,Music,Album,Rollins Band
Get Some Go Again,2000,Music,Album,Rollins Band
Nice,2001,Music,Album,Rollins Band
A Nicer Shade Of Red,2002,Music,Album,Rollins Band
End Of Silence Demos,2002,Music,Album,Rollins Band
The Only Way to Know for Sure: Live in Chicago,2002,Music,Album,Rollins Band
Rise Above: 24 Black Flag Songs to Benefit the West Memphis Three,2002,Music,Album,Rollins Band
Fast Food For Thought,1990,Music,Album,Wartime
Short Walk On A Long Pier,1985,Spoken Word,Album,
Big Ugly Mouth,1987,Spoken Word,Album,
Sweatbox,1989,Spoken Word,Album,
Live at McCabe's,1990,Spoken Word,Album,
Human Butt,1992,Spoken Word,Album,
The Boxed Life,1993,Spoken Word,Album,
Think Tank,1998,Spoken Word,Album,
Eric the Pilot,1999,Spoken Word,Album,
A Rollins In the Wry,2001,Spoken Word,Album,
Live At the Westbeth Theater,2001,Spoken Word,Album,
Talk Is Cheap: Volume 1,2003,Spoken Word,Album,
Talk Is Cheap: Volume 2,2003,Spoken Word,Album,
Talk Is Cheap: Volume 3,2004,Spoken Word,Album,
Talk Is Cheap: Volume 4,2004,Spoken Word,Album,
Provoked,2008,Spoken Word,Album,
Spoken Word Guy,2010,Spoken Word,Album,
Spoken Word Guy 2,2010,Spoken Word,Album,
Talking From the Box,1993,Spoken Word,TV,
Henry Rollins Goes to London,1995,Spoken Word,TV,
You Saw Me Up There,1998,Spoken Word,TV,
Up For It,2001,Spoken Word,TV,
Live At Luna Park,2004,Spoken Word,TV,
Shock & Awe: The Tour,2005,Spoken Word,TV,
Uncut From NYC,2006,Spoken Word,TV,
Uncut From Israel,2006,Spoken Word,TV,
Uncut From South Africa,2006,Spoken Word,TV,
Uncut From Northern Ireland,2006,Spoken Word,TV,
Uncut From New Orleans,2006,Spoken Word,TV,
San Francisco 1990,2007,Spoken Word,TV,
Live In the Conversation Pit,2008,Spoken Word,TV,
Provoked: Live From Melbourne,2008,Spoken Word,TV,
50,2012,Spoken Word,TV,
"Keep Talking, Pal",2018,Spoken Word,TV,
Get in the Van: On the Road with Black Flag,1994,Book,Album,
Everything,1996,Book,Album,
Black Coffee Blues,1997,Book,Album,
Nights Behind the Tree Line,2004,Book,Album,
World War Z,2007,Book,Album,
First Demo,1981,Music,Guest vocal,Minor Threat
We Are 138,1982,Music,Guest vocal,Misfits
Kick Out the Jams,1990,Music,Guest vocal,Bad Brains
Let There Be Rock,1991,Music,Guest vocal,Hard-Ons
Bottom,1993,Music,Guest vocal,Tool
Wild America,1993,Music,Guest vocal,Iggy Pop
Sexual Military Dynamics,1995,Music,Guest vocal,Mike Watt
Delicate Tendrils,1996,Music,Guest vocal,Les Claypool and the Holy Mackerel
T-4 Strain,1997,Music,Guest vocal,Goldie
War,1998,Music,Guest vocal,Bone Thugs-n-Harmony & Edwin Starr
Laughing Man (In the Devil Mask),2000,Music,Guest vocal,Tony Iommi
I Can't Get Behind That,2004,Music,Guest vocal,William Shatner
All tracks,2009,Music,Guest vocal,The Flaming Lips
20,1984,Book,Text,
"Two Thirteen Sixty-One, Volume I",1985,Book,Text,
"End To End: Two Thirteen Sixty-One, Volume II",1985,Book,Text,
"Polio Flesh: Two Thirteen Sixty-One, Volume III",1985,Book,Text,
You Can't Run From God,1986,Book,Text,
Hallucinations of Grandeur,1986,Book,Text,
Pissing in the Gene Pool,1987,Book,Text,
Art to Choke Hearts,1989,Book,Text,
Works,1988,Book,Text,
1000 Ways to Die,1989,Book,Text,
Knife Street,1989,Book,Text,
Body Bag,1989,Book,Text,
The Jackass Theory,1989,Book,Text,
High Adventure in the Great Outdoors,1990,Book,Text,
Bang!,1990,Book,Text,
Art To Choke Hearts & Pissing in the Gene Pool: Collected Writing 1985-1987,1992,Book,Text,
Black Coffee Blues,1992,Book,Text,
See A Grown Man Cry,1992,Book,Text,
Now Watch Him Die,1993,Book,Text,
One from None,1993,Book,Text,
Get in the Van: On the Road With Black Flag,1994,Book,Text,
Eye Scream,1996,Book,Text,
"See a Grown Man Cry, Now Watch Him Die",1997,Book,Text,
The First Five: Collected Work of Henry Rollins from 1983-1987,1997,Book,Text,
Solipsist,1998,Book,Text,
"The Portable Henry Rollins,",1998,Book,Text,
"Do I Come Here Often? (Black Coffee Blues, Pt. 2)",1998,Book,Text,
"Smile, You're Traveling (Black Coffee Blues Part 3)",2000,Book,Text,
Unwelcomed Songs,2002,Book,Text,
Broken Summers,2003,Book,Text,
Fanatic! Song lists and notes from the Harmony in My Head Radio Show,2005,Book,Text,
Roomanitarian,2005,Book,Text,
A Dull Roar: What I Did on My Summer Deracination 2006,2006,Book,Text,
Fanatic! 2: Song lists and notes from the Harmony in My Head Radio Show 2006,2007,Book,Text,
Fanatic! 3: Song lists and notes from the Harmony In My Head Radio Show 2007,2008,Book,Text,
"A Preferred Blur: Reflections, Inspections, and Travel in All Directions 2007",2009,Book,Text,
A Mad Dash: Introspective Exhortations And Geographical Considerations 2008,2009,Book,Text,
Occupants: Photographs And Writings By Henry Rollins,2011,Book,Text,
Before The Chop: LA Weekly Articles 2011-2012,2013,Book,Text,
A Grim Detail: Destination Documentation And Multi-Continental Self Examination 2009-1010,2014,Book,Text,
Before The Chop II: LA Weekly Articles 2013-2014,2015,Book,Text,
Before The Chop III: LA Weekly Articles 2014-2016,2017,Book,Text,
The Last Heist,2016,Actor,Film,
Gutterdammerung,2016,Actor,Film,
He Never Died,2015,Actor,Film,
The Legend of Korra,2014,Actor (Voice),TV,
In the House of Flies,2012,Actor,Film,
Sons of Anarchy,2010,Actor,TV ,
Suck,2009,Actor,Film,
The Devil's Tomb,2009,Actor,Film,
Wrong Turn 2,2007,Actor,Film,
Feast,2005,Actor,Film,
The Henry Rollins Show,2006,Host,TV,
The Henry Rollins Show,2007,Host,TV,
The Drew Carey Show,2004,Actor,TV,
Henry's Film Corner,2004,Host,TV,
Teen Titans,2004,Actor (Voice),TV,
Deathdealer: A Documentary,2004,Actor,Film,
Live Freaky Die Freaky,2003,Actor (Voice),TV,
Mace Griffin: Bounty Hunter,2003,Actor (Voice),Video Game,
A House on a Hill,2003,Actor,Film,
