Year,Newspaper,Total Articles,Psilocybin,Magic Mushrooms,Hallucinogenic Mushrooms,Psychedelic Mushrooms 
1989,NYT,1,0,0,0,1
1989,SLPD,4,2,2,3,0
1989,TBT,4,2,0,3,0
1989,SDUT,4,2,2,1,0
1990,NYT,0,0,0,0,1
1990,SLPD,2,1,1,1,0
1990,TBT,3,1,0,2,1
1990,SDUT,2,1,0,1,0
1991,NYT,7,0,1,6,0
1991,SLPD,4,0,1,3,0
1991,TBT,7,2,2,4,1
1991,SDUT,0,0,0,0,0
1992,NYT,3,1,0,2,0
1992,SLPD,3,1,2,0,0
1992,TBT,6,1,0,4,1
1992,SDUT,2,1,0,1,0
1993,NYT,4,4,1,1,1
1993,SLPD,1,0,0,0,1
1993,TBT,1,1,0,0,0
1993,SDUT,1,0,1,0,0
1994,NYT,9,3,3,1,2
1994,SLPD,8,4,1,3,1
1994,TBT,10,5,3,6,0
1994,SDUT,2,1,0,1,0
1995,NYT,3,0,1,1,1
1995,SLPD,5,2,0,4,1
1995,TBT,3,2,1,2,0
1995,SDUT,3,0,1,2,0
1996,NYT,5,2,2,2,1
1996,SLPD,5,2,0,3,0
1996,TBT,2,0,0,1,1
1996,SDUT,3,1,0,2,0
1997,NYT,3,1,1,1,1
1997,SLPD,4,1,1,3,0
1997,TBT,2,1,1,0,1
1997,SDUT,2,1,1,1,0
1998,NYT,5,1,1,2,1
1998,SLPD,2,0,1,1,0
1998,TBT,1,1,0,0,0
1998,SDUT,4,0,2,0,2
1999,NYT,7,0,0,3,4
1999,SLPD,0,0,0,0,0
1999,TBT,3,0,0,3,0
1999,SDUT,4,0,0,4,0
2000,NYT,6,3,1,1,3
2000,SLPD,0,0,0,0,0
2000,TBT,2,0,0,1,1
2000,SDUT,2,1,0,0,2
2001,NYT,12,2,2,7,2
2001,SLPD,2,1,0,1,0
2001,TBT,7,0,2,5,0
2001,SDUT,7,0,3,4,1
2002,NYT,11,5,2,4,1
2002,SLPD,3,2,2,2,0
2002,TBT,5,3,1,3,0
2002,SDUT,2,1,1,1,0
2003,NYT,10,5,1,2,2
2003,SLPD,1,0,0,1,0
2003,TBT,2,0,0,2,0
2003,SDUT,3,1,1,1,1
2004,NYT,5,0,2,1,2
2004,SLPD,3,1,0,2,0
2004,TBT,1,1,1,0,0
2004,SDUT,2,0,1,1,0
2005,NYT,9,3,3,2,3
2005,SLPD,1,0,0,0,1
2005,TBT,3,1,0,0,2
2005,SDUT,1,1,0,0,0
2006,NYT,6,2,2,2,0
2006,SLPD,0,0,0,0,0
2006,TBT,3,0,2,0,2
2006,SDUT,3,2,1,2,0
2007,NYT,12,3,6,3,3
2007,SLPD,2,0,0,0,2
2007,TBT,0,0,0,0,0
2007,SDUT,4,1,2,1,1
2008,NYT,12,4,9,2,0
2008,SLPD,1,0,1,0,0
2008,TBT,3,1,2,0,0
2008,SDUT,3,1,0,1,1
2009,NYT,8,1,1,3,3
2009,SLPD,0,0,0,0,0
2009,TBT,0,0,0,0,0
2009,SDUT,4,0,0,4,0
2010,NYT,11,7,4,0,2
2010,SLPD,1,1,0,0,0
2010,TBT,1,1,0,0,1
2010,SDUT,1,0,0,1,0
2011,NYT,15,4,4,7,1
2011,SLPD,3,2,1,0,0
2011,TBT,1,0,0,1,1
2011,SDUT,0,0,0,0,0
2012,NYT,11,3,2,4,3
2012,SLPD,3,0,0,2,2
2012,TBT,0,0,0,0,0
2012,SDUT,4,0,2,2,0
2013,NYT,5,1,3,1,0
2013,SLPD,2,0,1,0,1
2013,TBT,1,1,0,0,0
2013,SDUT,5,1,1,2,1
2014,NYT,9,3,2,2,3
2014,SLPD,2,0,1,1,0
2014,TBT,1,0,0,1,0
2014,SDUT,1,1,0,0,0
2015,NYT,19,8,7,6,1
2015,SLPD,3,1,0,2,0
2015,TBT,2,1,0,0,2
2015,SDUT,0,0,0,0,0
2016,NYT,10,4,4,2,2
2016,SLPD,0,0,0,0,0
2016,TBT,0,0,0,0,0
2016,SDUT,1,1,0,0,0
2017,NYT,23,10,9,2,4
2017,SLPD,1,1,0,0,0
2017,TBT,0,0,0,0,0
2017,SDUT,4,1,2,0,1
2018,NYT,25,17,8,5,3
2018,SLPD,0,0,0,0,0
2018,TBT,0,0,0,0,0
2018,SDUT,4,3,2,1,1
2019,NYT,38,20,11,3,11
2019,SLPD,1,1,1,0,0
2019,TBT,0,0,0,0,0
2019,SDUT,11,5,5,2,2
